run,slug,layer,class,n,frac,shift_mean_abs,shift_median_abs,shift_p95_abs,shift_max_abs,shift_mean_signed,norm_ratio_median,feature_sharing_ratio
seed1,qwen-kto,24,shared_attenuated,9020,0.44043,0.0201457,0.000643528,0.0152962,5.65355,0.00207612,0.974263,0.999658
seed1,qwen-kto,24,shared_intermediate,4417,0.215674,0.00174121,0.00103559,0.00466752,0.0876237,0.00115378,1.06134,0.999658
seed1,qwen-kto,24,shared_redirected,4214,0.205762,0.00108905,8.23638e-05,0.00167372,0.0946975,0.000909957,1.02734,0.999658
seed1,qwen-orpo,24,aligned_only,202,0.00986328,1.77527,1.40717,4.18708,15.1879,-1.04636,195.273,0.989352
seed1,qwen-orpo,24,base_only,16,0.00078125,0.401478,0.23648,1.08434,1.49631,-0.194663,0.522401,0.989352
seed1,qwen-orpo,24,other,6,0.000292969,0.883975,0.685411,1.82858,1.94551,0.168914,9.60264,0.989352
seed1,qwen-orpo,24,shared_aligned,1073,0.0523926,0.00976047,0.0010988,0.00700515,5.69096,-0.00554978,1.11624,0.989352
seed1,qwen-orpo,24,shared_attenuated,11574,0.565137,0.0259702,0.000659562,0.0083107,16.5522,0.00123433,1,0.989352
seed1,qwen-orpo,24,shared_intermediate,6096,0.297656,0.0116517,0.00134176,0.00576743,4.06467,-0.0082107,1.11836,0.989352
seed1,qwen-orpo,24,shared_redirected,1513,0.073877,0.0471002,0.00077289,0.28242,3.40717,-0.00526498,1.1122,0.989352
seed1,qwen-simpo,24,aligned_only,7876,0.38457,0.00172041,0.00071893,0.00516162,0.0791198,0.00127436,1.04844,0.615381
seed1,qwen-simpo,24,base_only,1,4.88281e-05,0.0117031,0.0117031,0.0117031,0.0117031,-0.0117031,0.637029,0.615381
seed1,qwen-simpo,24,shared_aligned,2245,0.109619,0.0627591,0.00137973,0.353484,3.30944,0.0064368,1,0.615381
seed1,qwen-simpo,24,shared_attenuated,7625,0.372314,0.00152765,0.00069539,0.00478195,0.0827373,-0.00102086,0.955121,0.615381
seed1,qwen-simpo,24,shared_intermediate,931,0.045459,0.00121012,0.00075467,0.00306573,0.0457201,-6.06786e-05,1.00138,0.615381
seed1,qwen-simpo,24,shared_redirected,1802,0.0879883,0.000368664,0,0.000784053,0.049414,-0.000102938,1.00057,0.615381
seed1,smollm-dpo,19,aligned_only,1967,0.120056,4.96945e-05,2.765e-05,0.000143661,0.00184957,4.7342e-05,1.44475,0.837524
seed1,smollm-dpo,19,base_only,695,0.0424194,6.06369e-05,4.32099e-05,0.000144896,0.00173141,-5.56446e-05,0.600947,0.837524
seed1,smollm-dpo,19,shared_aligned,986,0.0601807,0.00536896,0.000470606,0.0223864,0.356055,9.22017e-05,1,0.837524
seed1,smollm-dpo,19,shared_attenuated,918,0.0560303,5.0763e-05,2.37493e-05,0.000224917,0.00138757,-4.75827e-05,0.7193,0.837524
seed1,smollm-dpo,19,shared_intermediate,41,0.00250244,3.24426e-05,2.7289e-05,9.01716e-05,0.000155281,1.96568e-07,0.999681,0.837524
seed1,smollm-dpo,19,shared_redirected,11777,0.718811,5.35709e-05,8.20369e-06,0.000159959,0.00296619,-1.85966e-06,0.998144,0.837524
seed1,smollm-grpo,19,aligned_only,1820,0.111084,5.14797e-05,2.87656e-05,0.000150607,0.00165972,4.35609e-05,1.45864,0.846069
seed1,smollm-grpo,19,base_only,702,0.0428467,5.91677e-05,4.41957e-05,0.000144284,0.000603857,-5.91677e-05,0.598519,0.846069
seed1,smollm-grpo,19,shared_aligned,987,0.0602417,0.00935838,0.000568133,0.0274076,0.731762,0.000288835,1,0.846069
seed1,smollm-grpo,19,shared_attenuated,993,0.0606079,5.50168e-05,2.30814e-05,0.000277286,0.00175057,-4.56538e-05,0.723667,0.846069
seed1,smollm-grpo,19,shared_intermediate,47,0.00286865,3.59033e-05,3.036e-05,9.9445e-05,0.000151655,1.56864e-06,1.04273,0.846069
seed1,smollm-grpo,19,shared_redirected,11835,0.722351,5.36242e-05,8.19966e-06,0.000166332,0.00298409,-2.55392e-07,0.999839,0.846069
seed1,smollm-kto,19,aligned_only,656,0.0400391,5.70568e-05,1.53751e-05,0.000121917,0.0164939,5.66975e-05,1.62424,0.942627
seed1,smollm-kto,19,base_only,284,0.017334,3.13525e-05,1.66631e-05,0.000121682,0.000394275,-3.12844e-05,0.626422,0.942627
seed1,smollm-kto,19,shared_aligned,988,0.0603027,0.128571,0.00190002,0.603075,8.11447,0.046931,1,0.942627
seed1,smollm-kto,19,shared_attenuated,1534,0.0936279,2.55275e-05,8.47562e-06,0.000115841,0.001571,-1.96401e-05,0.769129,0.942627
seed1,smollm-kto,19,shared_intermediate,44,0.00268555,9.13031e-05,4.2218e-05,0.000189019,0.00152577,7.3585e-05,1.08463,0.942627
seed1,smollm-kto,19,shared_redirected,12878,0.786011,3.61511e-05,0,5.74969e-05,0.00294179,-8.50576e-08,1.04264,0.942627
seed1,smollm-orpo,19,aligned_only,2079,0.126892,3.98821e-05,1.66007e-05,0.000128191,0.00165915,3.16925e-05,1.37542,0.840576
seed1,smollm-orpo,19,base_only,533,0.0325317,5.07755e-05,3.63856e-05,0.000143423,0.000385125,-5.07647e-05,0.613166,0.840576
seed1,smollm-orpo,19,shared_aligned,986,0.0601807,0.142053,0.00204539,0.855586,5.45477,0.04956,1,0.840576
seed1,smollm-orpo,19,shared_attenuated,1584,0.0966797,3.52119e-05,1.67349e-05,0.000133465,0.00162397,-3.29216e-05,0.748996,0.840576
seed1,smollm-orpo,19,shared_intermediate,32,0.00195312,3.67851e-05,2.5008e-05,9.73773e-05,0.000140073,-2.32204e-06,0.978982,0.840576
seed1,smollm-orpo,19,shared_redirected,11170,0.681763,4.41253e-05,5.113e-06,9.99441e-05,0.00291721,-6.0443e-06,0.997445,0.840576
seed1,smollm-simpo,19,aligned_only,1840,0.112305,5.31585e-05,2.80846e-05,0.000146384,0.00180452,4.60123e-05,1.4606,0.846191
seed1,smollm-simpo,19,base_only,680,0.0415039,6.05137e-05,4.29131e-05,0.000144789,0.00169125,-5.55294e-05,0.602508,0.846191
seed1,smollm-simpo,19,shared_aligned,987,0.0602417,0.0059388,0.000487067,0.0264188,0.349585,0.00060459,1,0.846191
seed1,smollm-simpo,19,shared_attenuated,1006,0.0614014,5.4431e-05,2.32603e-05,0.000268883,0.00163378,-4.82314e-05,0.723384,0.846191
seed1,smollm-simpo,19,shared_intermediate,44,0.00268555,3.47543e-05,2.60426e-05,0.000102709,0.000146352,5.03831e-07,1.0254,0.846191
seed1,smollm-simpo,19,shared_redirected,11827,0.721863,5.18927e-05,7.98343e-06,0.000147988,0.00293717,-7.19248e-07,1.0015,0.846191
seed2,llama-dpo,11,aligned_only,3117,0.126831,9.26316e-05,4.21454e-06,6.55039e-05,0.0731003,5.17394e-05,1.33667,0.85144
seed2,llama-dpo,11,base_only,534,0.0217285,2.03831e-05,1.3264e-05,5.9314e-05,0.000347821,-2.02161e-05,0.618347,0.85144
seed2,llama-dpo,11,shared_aligned,1475,0.0600179,0.00618997,0.000237896,0.0320095,0.403824,0.00141436,1,0.85144
seed2,llama-dpo,11,shared_attenuated,2085,0.0848389,9.74454e-05,3.49536e-06,8.18142e-05,0.0670896,-7.13279e-05,0.7561,0.85144
seed2,llama-dpo,11,shared_intermediate,5,0.000203451,1.37222e-05,1.24675e-05,2.0636e-05,2.12311e-05,-7.05944e-06,1.02735,0.85144
seed2,llama-dpo,11,shared_redirected,17360,0.70638,0.000613294,0,3.027e-05,0.0784554,-3.47473e-05,0.998284,0.85144
seed2,llama-grpo,11,aligned_only,2974,0.121012,3.7078e-05,3.38888e-06,6.07486e-05,0.0712413,3.64514e-05,1.32739,0.858724
seed2,llama-grpo,11,base_only,498,0.0202637,1.9052e-05,1.26981e-05,5.85171e-05,0.000221737,-1.88964e-05,0.6228,0.858724
seed2,llama-grpo,11,shared_aligned,1475,0.0600179,0.0077984,0.000269176,0.0405867,0.674049,0.00187157,1,0.858724
seed2,llama-grpo,11,shared_attenuated,2053,0.0835368,5.86992e-05,3.09478e-06,7.45652e-05,0.0610104,-2.87078e-05,0.758453,0.858724
seed2,llama-grpo,11,shared_intermediate,6,0.000244141,1.10495e-05,8.74757e-06,2.37365e-05,2.54e-05,-4.0645e-06,1.04123,0.858724
seed2,llama-grpo,11,shared_redirected,17570,0.714925,0.000587464,0,3.11656e-05,0.0759383,-2.87051e-05,0.998422,0.858724
seed2,llama-kto,11,aligned_only,943,0.0383708,3.24364e-05,1.99862e-05,9.74809e-05,0.000492926,3.23568e-05,1.69663,0.940999
seed2,llama-kto,11,base_only,507,0.0206299,2.04518e-05,1.37991e-05,6.36856e-05,0.000218507,-2.03158e-05,0.622545,0.940999
seed2,llama-kto,11,shared_aligned,1474,0.0599772,0.103592,0.000867649,0.156276,20.5806,0.0454748,1,0.940999
seed2,llama-kto,11,shared_attenuated,2049,0.083374,4.57336e-05,4.03763e-06,6.13926e-05,0.0654711,-4.52514e-05,0.757747,0.940999
seed2,llama-kto,11,shared_intermediate,16,0.000651042,3.41789e-05,3.1262e-05,8.22353e-05,0.000110831,2.0412e-05,1.18559,0.940999
seed2,llama-kto,11,shared_redirected,19587,0.796997,0.000539484,1.27981e-06,3.78897e-05,0.0764216,-1.65727e-05,1.02458,0.940999
seed2,llama-orpo,11,aligned_only,785,0.0319417,0.00939592,0.000223285,0.00217908,6.28663,0.00939592,5.32138,0.915527
seed2,llama-orpo,11,base_only,1291,0.0525309,5.58772e-05,3.82114e-05,0.000154381,0.000797456,-5.58712e-05,0.605785,0.915527
seed2,llama-orpo,11,shared_aligned,1474,0.0599772,0.0181874,0.00106435,0.0453807,4.84541,-0.00171613,1,0.915527
